Time,Temperature,Pressure,Altitude,Latitude,Longitude,gps_altitude,gps_sats,gyro_x,gyro_y,gyro_z,gyro_acc_x,gyro_acc_y,gyro_acc_z,gyro_temp,bmp_status,gps_status,gyro_status,apc_status,servo_status,servo_rotation,sd_status
1,11,31,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
1,11,31,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
1,11,31,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
1,11,31,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
2,12,32,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
2,12,32,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
2,12,32,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
2,12,32,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
3,13,33,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
3,13,33,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
3,13,33,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
3,13,33,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
4,14,34,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
4,14,34,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
4,14,34,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
4,14,34,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
5,15,35,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
5,15,35,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
5,15,35,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
5,15,35,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
6,16,36,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
6,16,36,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
6,16,36,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
6,16,36,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
7,17,37,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
7,17,37,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
7,17,37,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
7,17,37,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
8,18,38,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
8,18,38,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
8,18,38,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
8,18,38,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
9,19,39,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
9,19,39,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
9,19,39,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
9,19,39,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
10,20,40,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
10,20,40,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
10,20,40,40,41.382736,2.154902,25.00,2,200.00,16.00,32.00,00.00,00.00,00.00,27,1,0,1,1,0,0,1
10,20,40,40,41.382736,2.154902,25.00,3,200.00,32.00,64.00,00.00,00.00,00.00,26,0,0,0,0,1,45,1
11,21,41,40,41.382736,2.154902,25.00,7,200.00,4.00,8.00,00.00,00.00,00.00,25,1,1,1,1,1,20,1
11,21,41,40,41.382736,2.154902,25.00,6,200.00,8.00,16.00,200.00,00.00,00.00,26,1,1,0,1,1,30,0
